Tipo	ID	Tema	Título	PalClv	Autores	Resumen
cartel	ID:25 	Ecología Funcional	VARIACIÓN MORFOLÓGICA DE DENDROCTONUS ADJUNCTUS BLANDFORD EN LOS SISTEMAS MONTAÑOSOS DE MÉXICO  	Dendroctonus, sistemas montañosos, variación morfológica, variables bioclimáticas. 	LucíaSánchezReyes,HermiloSánchezSánchez	Los escarabajos del género Dendroctonus son consideradas parásitos específicos de bosques de coníferas (Pinácea-Coniferales), su distribución está determinada por la distribución geográfica de sus hospederos. El género Dendroctonus es un taxón compuesto por 19 especies, de las cuales 17 se distribuyen en Norte y Centroamérica y 2 se localizan en la región boreal de Europa y Asia. Dendroctonus adjunctus se distribuye desde el sur de Utah, E. U. A. terminando hasta Guatemala, se ha localizado en la mayoría de las partes altas de los Sistemas Montañosos; de 2700 a 3800 m. de altitud. Uno de sus principales hospederos es Pinus hartwegii Lindl., otros hospederos son P. rudis Endl., P. montezumae Lamb., P. pseudostrobus Lindl y P. lawsoni Roezl, mide aproximadamente 4 mm de longitud por 1.5 mm de ancho es de color negro-rojizo. Se analizó la longitud de cabeza, del pronoto y de los élitros en ejemplares de D. adjunctus correspondientes a 18 poblaciones de los principales Sistemas Montañosos de México: Sierra Madre Occidental (SMOC), Sierra Madre Oriental (SMOr), Sierra Madre del Sur (SMS) y Faja Volcánica Transmexicana (FVT). Se realizó un análisis de la variación morfológica interespecífica de D. adjunctus por efecto de su distribución geográfica en México, por la selección de sus hospederos y por la influencia de las variables bioclimáticas. Los resultados muestran que existe variación entre los sistemas montañosos y los hospederos, al analizar la variación en relación con las variables bioclimáticas, se identificó que las variables bioclimáticas Temperatura máxima promedio del periodo más cálido (Bio5) y Temperatura promedio del cuatrimestre más lluvioso (Bio8) son las variables que influyen más sobre la variación dentro de los Sistemas Montañosos. Un análisis de Correlación Canónica nos proporcionó información sobre la correlación entre variables bioclimáticas y morfológicas, resultando mayor correlación sobre la longitud de la cabeza y del pronoto.
cartel	ID:33 	Ecología Funcional	RASGOS FUNCIONALES Y EFECTOS DE LA PERTURBACIÓN DEL HÁBITAT EN LOS ENSAMBLES DEL ORDEN CARNIVORA  	Tamaño corporal, amplitud del nicho, perturbación del hábitat, carnívoros, ensambles. 	AndreaGonzálezFernández,OctavioMonroyVilchis,MariaDornelas,MarthaMZarcoGonzález,JavierManjarrez	Algunos rasgos funcionales como el tamaño corporal o la amplitud del nicho son importantes para determinar la sensibilidad de las especies a la perturbación del hábitat. Se estimó la abundancia de carnívoros grandes y medianos así como de especialistas y generalistas de 7 áreas protegidas de México. Se evaluaron variables relacionadas con la perturbación del hábitat: porcentaje de vegetación nativa (VN), porcentaje de vegetación secundaria sub-arbórea (VSsa), fragmentación (F) y Km carretera/Km2 (Carreteras). Se desarrollaron 4 modelos para explicar (1)la abundancia de mesocarnívoros en función de la abundancia de grandes carnívoros y de las variables de perturbación del hábitat, (2)la abundancia de grandes carnívoros en función de las variables de perturbación del hábitat, (3)la abundancia de carnívoros generalistas en función de la abundancia de especialistas y de las variables de perturbación del hábitat y (4)la abundancia de carnívoros especialistas en función de las variables de perturbación del hábitat. Para validar los modelos se utilizaron datos temporales de una de las zonas de estudio. Se encontró que el 95.173% de la variación en la abundancia de mesocarnívoros fue explicada por las variables F y VN; el 66.771% de la variación en la abundancia de grandes carnívoros fue explicada por VN. El 97.175% de la variación en la abundancia de generalistas fue explicada por la abundancia de especialistas, VSsa y VN. Finalmente, el 85.998% de la variación en la abundancia de especialistas fue explicada por la variable VSsa. VN afectó negativamente a la abundancia de mesocarnívoros y positivamente a la abundancia de grandes carnívoros, pero no se encontró que la abundancia de grandes carnívoros fuera importante en predecir la de mesocarnívoros.  Los especialistas fueron más negativamente afectados por VSsa que los generalistas, a su vez, la abundancia de generalistas fue afectada negativamente por la abundancia de especialistas.
cartel	ID:129 	Ecología Funcional	RESPUESTA GERMINATIVA DE ESPECIES DE BOSQUES SUBTROPICALES DE MONTAÑA A LOS PRODUCTOS DE INCENDIOS  	Ecología del fuego, regeneración natural, germinación. 	MarthaSusanaZuloagaAguilar,CesarJoelFonsecaCastellón,LucíaBartolodelaCruz	El fuego puede causar cambios químicos y ambiéntales que pueden afectar la respuesta germinativa de semillas de especies en bosques propensos a incendios. El objetivo de investigación fue evaluar el efecto de los productos de un incendio sobre la germinación del banco de semillas y la germinación de especies pioneras post-fuego. Se evaluó la respuesta del banco de semillas de suelo colectado del bosque de pino mixto y mesófilo de montaña, el cual fue sometido a choque térmico, ceniza, agua de humo y su combinación. La germinación de semillas de tres especies arbóreas sometidas a productos de un incendio fue evaluada en campo y en semillas incubadas en una cámara de germinación bajo cuatro calidades de luz (rojo, rojo lejano, oscuridad y luz blanca). El choque térmico estimuló una mayor densidad de germinación y riqueza de especies del banco de semillas del bosque de pino mixto. El AG3 estimuló un mayor porcentaje de germinación de F. uhdei en condiciones naturales (61.2 ± 2.9% en BPE y 45.6 ± 6.5% en BMM) y con agua de humo en condiciones controladas (42.5 ± 2.8% bajo luz Roja). El agua de humo estimuló un mayor porcentaje de germinación en laboratorio de M. iltisiana (26.6 ± 2.1% en luz R y 23.3 ± 3.1% en oscuridad). La germinación de P. douglasiana fue estimulada por la ceniza en todos los tratamientos, en especial bajo luz roja (40.6 ± 20.6%). Tras el paso de un incendio, se esperaría que en bosques propensos al fuego se incrementé la densidad de germinación y el número de especies que emergen del banco de semillas. Además, las condiciones post-fuego en interacción con la calidad de luz, pueden modificar los requerimientos de germinación. Los resultados de este trabajo aportan información para el manejo y conservación de áreas protegidas.
cartel	ID:140 	Ecología Funcional	CAMBIOS FISIOLÓGICOS DE ORQUÍDEAS EPÍFITAS EN RESPUESTA A LA LUZ Y DISPONIBILIDAD DE AGUA  	Contenido relativo de agua, fotosíntesis, orquídeas, selvas secas, suculencia 	EdiliaDelaRosaManzano,JoséLuisAndradeTorres,LuisSimá,RoberthUsSantamaría	Las epífitas son consideradas como indicadoras del cambio climático debido a que son particularmente sensibles a los cambios ambientales, éstas presentan cambios fisiológicos en poco tiempo, en comparación con árboles y arbustos. Las epífitas de las selvas secas están expuestas a grandes cambios de luz durante el año, debido a que durante la temporada de sequía los árboles tiran sus hojas y éstas llegan a recibir hasta nueve veces más luz en comparación con la temporada de lluvias. El incremento en la intensidad de luz, va acompañado de una disminución en la disponibilidad de agua, lo que ocasiona una disminución en la fotosíntesis e incluso en el crecimiento. Evaluamos los cambios fotosintéticos e hídricos de cinco especies de orquídeas epífitas con diferente morfología foliar (linear, cilíndrica y oval) en respuesta a tres condiciones de luz (30, 50 y 70 % del total de luz) en invernadero. Encontramos que todas las especies disminuyeron la fotosíntesis bajo el 70 % de luz, pero fue más pronunciado en las especies de hoja oval (Laelia rubescens y Lophiaris oerstedii); así mismo, estas especies mostraron una disminución en la eficiencia cuántica máxima del fotosistema II. Sorpresivamente, el contenido relativo de agua de Encyclia nematocaulon de hoja lineal, no presentó cambios significativos en los tres niveles de luz; en contraste, L. rubescens y L. oerstedii fueron las más afectadas. Concluimos que L. rubescens y L. oerstedii podrían ser más susceptibles durante periodos prolongados de sequía, debido a que fueron las especies más afectadas en su fotosíntesis y estado hídrico.
cartel	ID:198 	Ecología Funcional	IRRADIACIÓN LÁSER HELIO-NEÓN: SU EFECTO SOBRE LA COMPOSICIÓN EN SEMILLAS DE S. MULTICOSTATUS  	irradiación láser, semillas, composición 	BrendaYulianaRamosGómez,SofíaLozaCornejo,MartínOrtizMorales,MauricioLariosUlloaCentroUniversitariodelosLagos,UniversidaddeGuadalajara	La irradiación laser Helio-Neón como tratamiento pre-germinativo produce efecto bioestimulante (Hernández y col., 2010). Diversos autores reportan un incremento en la velocidad de germinación y crecimiento de plántulas, concentración de metabolitos primarios (Muthusamy y col., 2012; Taha y col, 2014) y efectos en la composición de semillas Truchliñski y col., (2002). Por medio de técnicas histoquímicas se pueden identificar y evaluar cuantitativa y cualitativamente contenidos celulares (Martínez y Gragera, 2008). El objetivo del presente trabajo fue analizar el efecto de la irradiación láser Helio-Neón a nivel celular y de contenido en semillas de Stenocactus multicostatus (Cactaceae), especie con potencial en diversos aspectos debido a su riqueza fitoquímica (Almaraz-Abarca y col., 2007). Se utilizó un diseño estadístico de bloques al azar, con tres repeticiones, incluyendo diferentes frecuencias de irradiación láser He-Ne de baja intensidad (B: 60, C: 90, D: 120 y E: 150 segundos), longitud de onda 632.8 nm, potencia 10mW, comprendido en la zona del espectro de luz visible, y un control (A) sin irradiación. Se aplicaron pruebas histoquímicas (López-Curto, 2005) en muestras de semillas irradiadas vs control, para identificar contenidos e inclusiones (cuerpos de proteína, gotas de lípidos, granos de almidón y polisacáridos) a nivel celular y tisular, utilizando un microscopio adaptado a un analizador de imágenes. Los resultados mostraron que el número de cuerpos de proteína por célula incrementa con los tratamientos B, C y D (27.32, 27.56 y 27.40 respectivamente) con respecto al control; mientras que el diámetro de estos aumento en el tratamiento E (27.35 µm). Un efecto similar fue observado en el diámetro de granos de almidón en los tratamientos D y E. Los resultados demostraron diferencias estadísticas significativas entre tratamientos de irradiación (Tukey, P < 0.001). Se concluye que la irradiación láser Helio-Neón tiene efectos en la composición de la semilla de Stenocactus multicostatus.
cartel	ID:207 	Ecología Funcional	DIFERENCIACIÓN MORFOFUNCIONAL ENTRE NUEVE ESPECIES DEL GÉNERO QUERCUS QUE SE DISTRIBUYEN EN UN GRADIENTE HÍDRICO  	Quercus, atributos morfológicos, disponibilidad de agua, Cuenca de Cuitzeo, diferenciación morfofuncional. 	SandraManzoValencia,FernandoPinedaGarcía,AlbertoKenOyamaNakagawa	La disponibilidad de agua es fundamental para la distribución de las especies y el ensamblaje de las comunidades. En la cuenca de Cuitzeo, Michoacán, se presenta un gradiente de incremento de humedad que va de norte a sur. En esta área es posible ubicar especies del género Quercus que se distribuyen en zonas con mayor disponibilidad de agua en el suelo y especies en zonas con menor disponibilidad. En este estudio se exploró la variación en atributos morfofuncionales, relacionados con el uso de agua y la resistencia al estrés hídrico, entre nueve especies de Quercus. En particular, se exploró i) si existe diferenciación entre las especies en sus atributos morfofuncionales, ii) de qué forma están correlacionados los atributos, y iii) si existe una relación entre los atributos y el ambiente. Para lo cual se recolectaron muestras de hojas y tallos y se cuantificaron siete atributos morfológicos. Al evaluar la diferenciación morfológica se encontró que las especies difieren entre sí en los siete atributos, sin embargo, el Valor de Huber y el Área Foliar Específica son en los que se detectaron cambios más fuertes. Se encontraron siete correlaciones entre los atributos. En particular, se detectó una relación negativa entre la densidad del tallo y el tamaño de la hoja. Así mismo, se detectó que hojas grandes y con alta área foliar específica están asociadas a ambientes con mayor disponibilidad hídrica. Las especies de Quercus presentes en la cuenca de Cuitzeo difieren en su estrategia de uso de recursos, y esta diferenciación morfofuncional responde a la disponibilidad de agua, al igual estas especies tienen atributos morfológicos que varían, debido a que se especializan en nichos particulares a través de las compensaciones en los rasgos funcionales y morfológicos.
cartel	ID:214 	Ecología Funcional	TOLERANCIA TÉRMICA EN HOJAS DE NUEVE ESPECIES DEL GÉNERO QUERCUS DE LA CUENCA DE CUITZEO, MICHOACÁN  	Gradiente de temperatura, Índice de daño, Quercus, Variables morfo-funcionales, Cuenca de Cuitzeo. 	MariaSoledadRuizMora,FernandoPinedaGarcía,AlberoKenOyamaNakagawa	La distribución de las plantas está influenciada en gran medida por las condiciones climáticas. Para México se predice un aumento de temperatura de 1 a 3 °C por lo tanto, resulta crítico entender cuáles son los límites de tolerancia a temperaturas extremas en las distintas especies. En el presente trabajo se exploró el índice de daño en hojas de nueve especies del género Quercus que difieren en su distribución a lo largo de un gradiente de temperatura y precipitación, así mismo se analizó si existe una correlación de la sensibilidad a la temperatura con atributos morfológicos de las hojas. Las muestras de hojas se sometieron a diferentes temperaturas, que simulan la temperatura que experimentan las especies en campo (0, 5, 10, 30, 35 oC) además de cuatro niveles extremos (-4, -8, 40 y 50 oC), la sensibilidad se determinó mediante el método de fuga de electrólitos. Para la cuantificación de las variables morfo-funcionales los atributos que se midieron fueron: el contenido de materia seca, grosor, área foliar y el área foliar específica. No se detectó un claro patrón entre las especies de zonas frías y las de zonas más calientes en su resistencia al daño. Sin embargo, Quercus magnolifolia es la especie que sufrió mayor daño en sus tejidos y Quercus qentry fue la que menor daño sufrió. Así mismo, no se detectó relación con los atributos morfológicos y la resistencia de las especies a bajas o altas temperaturas. En conclusión, las especies de Quercus de la Cuenca no se diferencian de manera direccional a lo largo del gradiente en su sensibilidad a temperaturas extremas, sin embargo, en su conjuntos sí son sensibles a altas y bajas temperaturas. Esta variación detectada entre las especies tendrá implicaciones ante el aumento de temperatura que se predice ocurrirá como consecuencia del cambio climático.
cartel	ID:240 	Ecología Funcional	VARIACIONES MORFOLÓGICAS DE SAMOLUS EBRACTEATUS VAR. COAHUILENSIS EN TRES MICROAMBIENTES DEL VALLE DE CUATROCIÉNEGAS, COAHUILA  	Variaciones morfológicas, microambientes, abras, especie ribereña y Sistema Churince 	GabrielCervantesCampero,IrenePisantyBaruch	¡ El Sistema Churince del valle de Cuatrociénegas se encuentra en proceso de desecación, lo que lleva a la formación de hundimientos diferenciales conocidos como abras. Las abras son microambientes que emulan las condiciones de las riberas, y representan refugios para especies ribereñas como Samolus ebracteatus var. coahulensis (Primulacea), una planta herbácea que se encuentra cerca de cuerpos de agua como el río Churince. Actualmente, su distribución en el sistema Churince se ha ampliado a las abras y a la planicie que las circunda. El objetivo fue determinar si existen variaciones morfológicas en esta planta como respuesta a las condiciones de los tres microambientes (río, planicie y abras) en los que crece en la parte terminal del Sistema Churince. Se seleccionaron al azar 150 individuos en cada microambiente y se hicieron mediciones bimestrales, desde septiembre de 2012 hasta noviembre de 2013, para obtener la altura, el área foliar, el número de rosetas y la cobertura de las plantas así como el patrón fenológico. Posteriormente se realizó un análisis de varianza de dos vías para cada variable dependiente. Los factores fueron el tiempo (meses) y el microambiente (río, planicie y abras). Las características analizadas mostraron diferencias significativas en tiempo y entre los microambientes. Las plantas establecidas en el borde del río exhibieron mayor cobertura, tuvieron más rosetas y presentaron más estructuras reproductivas que los otros dos microambientes, mientras que las plantas de las abras tuvieron la menor cobertura y mayor altura y área foliar. Se concluyó que sí se presentan variaciones morfológicas de los individuos entre los microambientes considerados y que estas variaciones responden a las características de las abras y a la heterogeneidad del Sistema Churince y del valle en general. Estas variaciones permiten la colonización de diferentes ambientes por parte de esta especie.
cartel	ID:300 	Ecología Funcional	CAÍDA DE HOJARASCA EN TRES AMBIENTES CONTRASTANTES DEL TRÓPICO SECO DEL CENTRO DE VERACRUZ  	Dinámica sucesional, caída de hojarasca, selva estacional. 	AdrianaAquinoArreortúa,JavierLabordeDovalí,EsmeraldaGuerreroReyna	Las selvas estacionales se distinguen por su alta riqueza de especies y una composición florística que varía ampliamente de una región a otra, sin embargo la alta deforestación ha llevado a estos ecosistemas al riesgo de desaparecer ya que grandes superficies han sido convertidas en campos agrícolas y ganaderos. El estudio y la cuantificación de la caída de hojarasca es importante para la estimación de la Productividad Primaria y la comprensión del reciclaje de nutrientes. Se colectó hojarasca mensual durante dos años (2012-2014) en tres hábitats adyacentes que forman un mosaico heterogéneo en el centro de Veracruz: selva mediana subcaducifolia, acahual derivado de esta (18 años) y matorral sobre dunas. La hojarasca total para la selva fue de 8.38 Mg ha-1 año-1, la fracción foliar corresponde a 38 especies siendo las principales: Brosimum alicastum, Nectandra salicifolia y Ficus obtusifolia. En el acahual la producción fue de 6.84 Mg ha-1 año-1, con un total de 42 especies, las más productoras: Pisonia aculeata, Gliricidia sepium y Enterolobium cyclocarpum. En el matorral la producción total fue de 1.36 Mg ha-1 año-1, con un total de 17 especies, las dominantes fueron: Psittacanthus calyculatus, Randia aculeata y Vitis bourgaeana. Los resultados indican que la producción de hojarasca está relacionada con la estructura forestal y el estadio sucesional de cada sitio, siendo mayor la producción en la selva, aunque en el acahual fue ligeramente mayor la riqueza de especies con una producción dominada por especies secundarias destacándose las leguminosas. Se discute la importancia de la restauración de selvas en campos abandonados, ya que a 18 años de regeneración forestal en un acahual la productividad de hojarasca ya alcanza más de la mitad de lo que produce una selva no perturbada.
cartel	ID:8001 	Ecología Funcional Congreso Mexicano	BIOLOGÍA REPRODUCTIVA DE PACHIRA AQUATICA AUBL. (MALVACEAE: BOMBACOIDEA): UN ÁRBOL TROPICAL CON UN SISTEMA DE POLINIZACIÓN ESPECIALIZADO EN MURCIÉLAGOS Y ESFÍNGIDOS  	Polinización, Biología Floral, Chiropterofilia, Esfingofilia, Sistema reproductivo. 	JesúsRafaelHernándezMontero,VinicioSosaFernández	Investigamos la biología reproductiva de Pachira aquatica (incluyendo la biología floral, biología de polinización, sistema reproductivo y éxito reproductivo) un árbol nativo y dominante de humedales de agua dulce de la planicie costera del Golfo de México. Las flores presentaron una antesis nocturna, producción copiosa de néctar, con una concentración ideal para visitantes nocturnos (rango 18 - 23%) tales como murciélagos y polillas esfíngidos. Los principales visitantes nocturnos fueron murciélagos y esfíngidos mientras que las abejas fueron los principales visitantes diurnos. Aunque abundantes, las abejas no fueron polinizadores legítimos aportando solo 3.6% de las visitas legitimas totales registradas. Debido a diferencias en el comportamiento de forrajeo, los murciélagos presentan un mayor porcentaje de visitas legítimas comparados con los esfíngidos (70 vs 26%). Los murciélagos se alimentan principalmente de polen mientras que las polillas de néctar, lo cual sugiere una partición de recursos. Registramos ocho especies de murciélagos transportando polen pero Leptonycteris yerbabuenae es probablemente el polinizador más efectivo debido a sus altas cargas polínicas. Los esfíngidos Manduca rustica, Cocytius duponchel y Eumorpha satellitia se registraron visitando flores. Los resultados de los experimentos de polinización manual indicaron un sistema reproductivo exogámico. Los experimentos de polinización abierta resultaron en una fructificación nula, indicando limitación de polen; sin embargo, el éxito reproductivo medio, de acuerdo a censos estacionales, fue de 17 ± 3%; estos resultados contrastantes pueden ser explicados por la disponibilidad estacional de polinizadores. Concluimos que Pachira aquatica es una especie exogámica con un sistema de polinización especializado en murciélagos y esfíngidos.
