ID	Título	e-mail	Autores
ID:609 	DIVERSIDAD GENÉTICA DE LA PAPAYA SILVESTRE EN MÉXICO  	Mariana Chávez Pesqueira, Juan Núñez Farfán
ID:443 	REPRODUCCIÓN, HERBIVORÍA Y RAZÓN SEXUAL DE LITHRAEA MOLLEOIDES EN AMBIENTES FRAGMENTADOS DEL CHACO SERRANO  	Ana Laura Chiapero, Giovana Galfrascoli, Noelia Lujea, Ana Calviño, Ramiro Aguilar Luján, Lorena Ashworth
ID:1225 	LIVING FAST AND DYING YOUNG: LOCAL ADAPTATION, SEXUAL ANTAGONISM, AND SEX- CHROMOSOME EVOLUTION IN THE DIOECIOUS PLANT SILENE LATIFOLIA  	Lynda Delph
ID:495 	POLINIZACIÓN, ÉXITO REPRODUCTIVO Y ESTRUCTURA GÉNICA EN PALMAS DIOICAS DEL GÉNERO CHAMAEDOREAE  	Eric Fuchs Castillo, Luis Diego Ríos Reyes, Alfredo Cascante Marín
ID:186 	DIMORFISMO SEXUAL DE LA DEFENSA CONTRA HERBÍVOROS: SESGOS Y SUPUESTOS  	Germán Avila Sakar
ID:707 	ECOLOGÍA REPRODUCTIVA DE DOS ESPECIES DE ÁRBOLES DIOICOS DEL GÉNERO VIROLA (MYRISTICACEAE) EN UN BOSQUE MADURO EN LA PENÍNSULA DE OSA, COSTA RICA  	Pablo Riba Hernández, Jorge Arturo Lobo Segura, Eric J Fuchs, Juan Moreira
ID:967 	CONTROLES BIOFÍSICOS DE LOS FLUJOS DE CARBONO EN UN CHAPARRAL SEMIÁRIDO CON CLIMA MEDITERRÁNEO  	Alejandro Cueva, Carlos Aguirre Gutiérrez, Stephen H Bullock,Ángel Castro, Martín Escotto Rodríguez, Eulogio López Reyes, Juan F Marínez Osuna, Stephen Smith, Rodrigo Vargas, Samuel Villareal Rodríguez
ID:194 	ESTRUCTURA Y FUNCIÓN DE COMUNIDADES MICROBIANAS DE COSTRAS BIOLÓGICAS DE SUELOS DE DOS HÁBITATS ÁRIDOS CONTRASTANTES EN MÉXICO  	Ana E Escalante, Alberto Barrón Sandoval, Teresa Pérez Carbajal, Angélica Serrano Vázquez, Georgina Hernández, Alfonso Leija, Víctor Manuel Rivera Aguilar
ID:1044 	HETEROGENEIDAD ESPACIAL DE LA DISTRIBUCIÓN DE LOS ALMACENES DE CARBONO AÉREO EN EL DESIERTO SONORENSE Y LAS CONSECUENCIAS DEL DISTURBIO ANTRÓPICO  	Angelina Martínez Yrizar, Alberto Búrquez Montijo
ID:473 	LEGADOS DE LA VARIABILIDAD CLIMÁTICA Y RESPUESTAS RETRASADAS EN LA DINÁMICA DEL CARBONO  	Josue Delgado Balbuena, José Tulio Arredondo Moreno
ID:182 	ESTEOQUIOMETRÍA ENZIMÁTICA AL EXTREMO: CÓMO LOS MICROORGANISMOS DEL SUELO RESPONDEN A LA LIMITACIÓN DE NUTRIENTES EN UN ECOSISTEMA DESÉRTICO OLIGOTRÓFICO  	Yunuen Tapia Torres, Felipe García Oliva, Valeria Souza Saldivar, James Elser
ID:924 	DINÁMICA DEL CARBONO EN SUELO ASOCIADO A LEGUMINOSAS, BIOCOSTRAS Y SISTEMAS AGROFORESTALES DE UN ECOSISTEMA SEMIÁRIDO  	Noé Manuel Montaño Arias, Sara Lucía Camargo Ricalde
ID:542 	PÉRDIDA DE LA NATURALIDAD Y CAPACIDAD DE RESILIENCIA EN PLAYAS Y DUNAS POR IMPACTO ANTROPOGÉNICO: ESTUDIO DE CASO; LA COSTA NORTE DE YUCATÁN  	Mario Arturo Ortíz Pérez, José Manuel Figueroa Mah Eng, Magdiel Rodríguez Barrios
ID:827 	DINÁMICA EN SISTEMAS ARRECIFALES: CONTRIBUCIÓN DE LA NATURALEZA A LA PROTECCIÓN DE LAS COSTAS  	Cecilia Enríquez Ortíz, Ismael Mariño Tapia, Rodolfo Silva Casarín
ID:905 	MANGLARES Y FITOPLANCTON EN LAGUNAS COSTERAS CON DINÁMICAS HIDROLÓGICAS VARIABLES  	Jorge López Portillo Guzmán, Gabriela Vázquez Hurtado, Ana Laura Lara Domíguez, José Antolín Aké Castillo, Marcela Ruiz Guerrero
ID:666 	EL HIDROPERIODO Y LA RESILIENCIA DE LOS HUMEDALES  	Patricia Moreno Casasola Barceló, María Elizabeth Hernández Alarcón, Adolfo Campos Cascaredo
ID:541 	EL PAPEL DE LA VEGETACIÓN EN LA RESILIENCIA Y RESISTENCIA DE LAS DUNAS COSTERAS  	Ma Luisa Martínez Vázquez, Rodolfo Silva Casarín
ID:307 	ACCIONES PARA FORTALECER LA RESILIENCIA DE LAS ZONAS COSTERAS  	Guillermo Jorge Villalobos Zapata
ID:490 	PROGRAMA DE CONSERVACIÓN DEL SAPO DE CRESTA (INCILIUS CRISTATUS)  	José Alfredo Hernández Díaz
ID:1275 	EL PROGRAMA DE REINTRODUCCIÓN DE LA PALOMA DE SOCORRO: UN EJEMPLO DE REFAUNACIÓN BASADO EN EL RE-ESTABLECIMIENTO DE INTERACCIONES ECOLÓGICAS  	Juan Martínez Gómez, J A Cervantes Pasqualli
ID:1268 	EXPERIENCIAS EN LA REINTRODUCCIÓN DE LOBO MEXICANO (CANIDAE, CARNIVORA) EN CHIHUAHUA, MÉXICO  	Carlos Alberto López González, Nalleli Lara Díaz, Cristian Aguilar Miguel, Carmen García Chávez, Federico Mora, Mario Astorga
ID:1241 	REINTRODUCCIÓN DE PRIMATES MEXICANOS  	Francisco García Orduña, Maríade Jesús Rovirosa Hernández
ID:470 	DIAGNÓSTICO SOCIAL PARA LA REFAUNACIÓN EN UNA RESERVA DEL GOLFO DE MÉXICO  	Montserrat Franquesa Soler, Luis García Feria, Juan Carlos Serio Silva
ID:196 	HERRAMIENTAS Y PERSPECTIVAS EN EL ESTUDIO DE LA RELACIÓN ENTRE DIVERSIDAD MICROBIOLÓGICA Y FUNCIÓN ECOSISTÉMICA  	Ana E Escalante
ID:132 	RELACIÓN ENTRE LA CONFIGURACIÓN ESPACIAL DEL PARCHE Y LA DIVERSIDAD FUNCIONAL DE PLANTAS  	Amaranta Arellano Rivas, José Arturo De Nova Vázquez, MiguelÁngel Munguía Rosas
ID:348 	DIVERSIDAD FUNCIONAL Y RIQUEZA DE ESPECIES EN TRES ENSAMBLES DE MURCIÉLAGOS DE MÉXICO  	Juan Manuel Pech Canché, Claudia Moreno Ortega
ID:559 	DIVERSIDAD FUNCIONAL DE LA FAUNA DE PECES DE LOS ARRECIFES CORALINOS DEL MAR CARIBE  	Jesús Ernesto Arias González, Vanessa Francisco Ramos, Gilberto Acosta González, Jorge Montero, José Luis Cabrera
ID:305 	TRAYECTORIAS Y RECUPERACIÓN DE RASGOS FUNCIONALES EN BOSQUES TROPICALES SECUNDARIOS  	Alejandra Tauro, Miguel Martínez Ramos
ID:237 	VARIACIÓN GENÉTICA Y FUNCIONAL EN ESPECIES DE ENCINOS A LO LARGO DE GRADIENTES AMBIENTALES  	Antonio González Rodríguez, Jesús Llanderal Mendoza, Clementina González Zaragoza, Ken Oyama
ID:184 	DIVERSIDAD DE ARTRÓPODOS DEL DOSEL EN ENCINOS MEXICANOS: IMPORTANCIA DE LA HIBRIDACIÓN EN PLANTAS  	Marcela Sofía Vaca Sánchez Made Jesús Juárez Ramírez, Edmundo López Barbosa, Antonio González Rodríguez, Pablo Cuevas Reyes
