simposio	ID:609 	Ecología evolutiva y genética de la conservación de plantas dioicas. 	DIVERSIDAD GENÉTICA DE LA PAPAYA SILVESTRE EN MÉXICO  	Carica papaya, diversidad genética, flujo génico, dioicismo, México 	La papaya (Carica papaya) es la tercera fruta tropical de mayor producción a nivel mundial, siendo México el principal país exportador. En su forma silvestre, la papaya se distribuye de manera natural en las selvas tropicales y sub-tropicales de México. En estado natural, C. papaya es un árbol raro, de corta vida y rápido crecimiento, asociado a claros o sitios con disturbio. Las principales diferencias entre la papaya silvestre y la cultivada radican en el tamaño del fruto y en su morfología floral. Los frutos silvestres tienen un tamaño comparativamente menor, conteniendo casi sólo semillas y un mesocarpo muy delgado. Asimismo, las poblaciones naturales de papaya son estrictamente dioicas, mientras que en papayas cultivadas se pueden encontrar individuos hermafroditas. Al ser dioicas, son más vulnerables a cambios en su ambiente ya que dependen de la presencia de individuos de ambos sexos y de polinizadores y dispersores para una reproducción exitosa. Durante las últimas décadas, su hábitat natural ha sido altamente fragmentado y deforestado, a pesar de esto, poco se sabe sobre el estado de la diversidad genética de poblaciones silvestres. En este estudio se analizó la diversidad genética de la papaya silvestre en su distribución natural de México con marcadores de ADN nuclear y de cloroplasto. Los resultados preliminares para 19 poblaciones de papaya silvestre sugieren niveles moderados de diversidad genética, siendo menores en la zona de la península de Yucatán. Estimaciones de flujo génico y diferenciación poblacional señalan un bajo flujo génico entre poblaciones y una alta estructuración poblacional, así como varias barreras que impiden el flujo de genes. El dioicismo, su corta vida y el bajo flujo génico detectado en poblaciones silvestres de papaya, comprometen la persistencia de la especie de manera natural, así como su reservorio genético y el potencial evolutivo de esta importante especie. 
simposio	ID:443 	Ecología evolutiva y genética de la conservación de plantas dioicas. 	REPRODUCCIÓN, HERBIVORÍA Y RAZÓN SEXUAL DE LITHRAEA MOLLEOIDES EN AMBIENTES FRAGMENTADOS DEL CHACO SERRANO  	Fragmentación de hábitat, árbol dioico, apomixis, agallas, reproducción sexual 	La fragmentación de hábitat modifica las interacciones mutualistas y antagonistas afectando distintos procesos ecológicos y genéticos que pueden comprometer la supervivencia de poblaciones vegetales. Así, sabemos que en general la fragmentación disminuye el éxito reproductivo y la diversidad genética de plantas, siendo estos efectos más fuertes en especies exógamas. Debido a que las especies dioicas son exógamas obligadas pues presentan individuos con sexos separados, se espera que sean el grupo más vulnerable. Aquí evaluamos la reproducción y la razón sexual junto con la herbivoría en Lithraea molleoides (Anacardiaceae), árbol dominante del chaco serrano en bosques fragmentados y continuos del centro de Argentina. Tanto la densidad de árboles femeninos y masculinos por hectárea como la razón sexual entre ellos (1:1) fueron similares en ambas condiciones del paisaje. La polinización es completamente entomófila y la probabilidad de fructificación es del 20% y no difiere entre condiciones. Al excluir polinizadores la fructificación es del 10% producto de apomixis. El esfuerzo reproductivo, medido como masa total de flores sobre masa total de hojas, fue mayor en individuos masculinos y no difirió entre condiciones. La especie es fuertemente atacada por una especie de insecto que forma agallas foliares. Ni el sexo ni la condición afectaron la cantidad de agallas por hoja, pero la frecuencia de individuos femeninos atacados fue mayor en bosques fragmentados. En contraposición a lo esperado, la reproducción sexual de este árbol dioico no estaría siendo afectada por la fragmentación de hábitat. La eventual falta de servicio de polinización podría ser parcialmente compensada por mecanismos de apomixis. La razón sexual similar de adultos entre condiciones sería consecuencia del poco tiempo transcurrido desde ocurrida la fragmentación en relación a la longevidad de los individuos. Discutimos estos resultados en el contexto del actual paradigma sobre los efectos de fragmentación de hábitat. 
simposio	ID:1225 	Ecología evolutiva y genética de la conservación de plantas dioicas. 	LIVING FAST AND DYING YOUNG: LOCAL ADAPTATION, SEXUAL ANTAGONISM, AND SEX- CHROMOSOME EVOLUTION IN THE DIOECIOUS PLANT SILENE LATIFOLIA  	local adaptation, sex-chromosome evolution, sexual antagonism, sexual dimorphism 	The dioecious plant Silene latifolia exhibits both sexual dimorphism and among-population divergence in many traits related to edaphic conditions. I will present a series of experiments showing that males experience selection more strongly than females, that the two sexes experience intralocus sexual antagonism in harsh environments, and that many of the traits that confer local adaptation are controlled by loci located on the sex chromosomes. Hence, sexual antagonism, local adaptation, and sex-chromosome evolution are all intimately related to the pattern of sexual dimorphism and divergence in phenotypic traits. The combination of the strength of selection on certain traits with genetic correlations among traits may be driving incipient speciation in this species. 
simposio	ID:495 	Ecología evolutiva y genética de la conservación de plantas dioicas. 	POLINIZACIÓN, ÉXITO REPRODUCTIVO Y ESTRUCTURA GÉNICA EN PALMAS DIOICAS DEL GÉNERO CHAMAEDOREAE  	Dioicismo, palmas, Chamaedoreae, éxito-reproductivo, polinización, ambofilia, fenología, flujo polen, flujo génico, diversidad genética 	El éxito reproductivo en especies dioicas depende de la capacidad de transportar exitosamente polen entre individuos de sexos diferentes. Esta capacidad dependerá también de otros factores como la sincronía de floración entre individuos, la distribución especial de ambos sexos y de características de las plantas como tamaño y el número de flores producidas. Nosotros estudiamos cómo estos factores afectan el éxito reproductivo de tres especies de palmas dioicas del género Chamaedorea en bosques pre-montanos de Costa Rica. Además, estudiamos el sistema de polinización de estas especies. Marcamos más de 300 individuos de ambos sexos y estudiamos su fenología reproductiva semanalmente por un período de cinco meses. El éxito reproductivo femenino se estimó como la proporción de flores que desarrollan frutos. Mediante experimentos de exclusión, determinamos que tanto el viento como los thrips (Thysanoptera) son polinizadores efectivos. Aproximadamente, el 43% de las flores desarrollan frutos. Los resultados preliminares sugieren que la densidad o sincronía floral no afecta significativamente el éxito reproductivo. Sin embargo, las plantas de mayor tamaño maduran proporcionalmente más semillas. Similarmente, se determinó que el éxito reproductivo depende de la fecha de floración, lo cual atribuimos a la disponibilidad de polinizadores. Además, iniciamos el estudio de la estructura y diversidad genética de C. tepejilote en bosques continuos y fragmentados de la vertiente Pacífica de Costa Rica. Mediante parcelas, determinamos la densidad poblacional, la proporción sexual y colectamos muestras de al menos 20 individuos en ocho poblaciones. Con siete microsatélites, preliminarmente determinamos que las poblaciones presentan niveles intermedios de diversidad genética, y poca estructura génica, resultados congruentes con especies vectores efectivos. Las poblaciones en bosques continuos presentan niveles comparables de diversidad genética que las poblaciones en bosques fragmentados. Estos resultados pueden deberse a la amplia distribución de la especie y su amplia capacidad de flujo génico. 
simposio	ID:186 	Ecología evolutiva y genética de la conservación de plantas dioicas. 	DIMORFISMO SEXUAL DE LA DEFENSA CONTRA HERBÍVOROS: SESGOS Y SUPUESTOS  	diecia, asignación de recursos, herbivoría, dimorfismo sexual, defensa 	En plantas dioicas, las estrategias de defensa contra enemigos naturales pueden evolucionar diferencialmente entre los sexos. Actualmente se considera que, en general, las plantas macho son menos resistentes y por lo tanto sufren mayor daño por herbívoros que las hembras. Esta visión está basada en datos que provienen de pocas especies, muchas de ellas dentro del mismo género o familia, y pocas familias. Además, nuestro entendimiento del proceso evolutivo que ha causado dicho dimorfismo sexual de la defensa refleja una perspectiva incompleta de las rutas evolutivas posibles, dejando del lado alternativas que pueden llevar a la evolución de poblaciones donde las hembras sean menos resistentes que los machos. En este trabajo, presentamos una revisión crítica del estado del conocimiento de la herbivoría en especies dioicas y proponemos escenarios evolutivos alternativos que han sido soslayados. Estos escenarios consideran factores funcionales y evolutivos que pueden causar dimorfismo sexual en la asignación de recursos a la reproducción, el crecimiento y la defensa. Revisamos la evidencia que ha llevado a la conclusión de que los machos son menos resistentes en especies dioicas, haciendo hincapié en las limitaciones de dichos estudios. Por último, proponemos un protocolo mínimo que debería seguirse en estudios avocados a investigar la coevolución entre las plantas dioicas y sus herbívoros. 
simposio	ID:707 	Ecología evolutiva y genética de la conservación de plantas dioicas. 	ECOLOGÍA REPRODUCTIVA DE DOS ESPECIES DE ÁRBOLES DIOICOS DEL GÉNERO VIROLA (MYRISTICACEAE) EN UN BOSQUE MADURO EN LA PENÍNSULA DE OSA, COSTA RICA  	plantas dioicas árboles maderables dispersión de polen polinización producción de frutos 	La estructura poblacional de dos especies dioicas de árboles maderables, Virola surinamensis y V. kochnyi fué estudiada en una parcela de 60 has en el Refugio Marenco, Peninsula de Osa, Costa Rica. Se determinó el sexo y el dap de todos los individuos adultos (>30 cm dap) de ambas especies. En V. surinamensis se investigó además el efecto de la densidad local (vecindario de 100 m de radio) de machos en la producción de frutos y el flujo génico por polen. Para esto se estimó la producción de frutos en una muestra de 64 árboles femeninos localizados dentro una parcela nuclear de 42 has, donde además se determinaron los genotipos para 5 microsatélites de 10-20 semillas por árbol materno y de 75% de los adultos. La proporción de individuos que produjeron flores y la distribución diamétrica no fué diferente entre especies y sexos. Los adultos de ambas especies mostraron agregación espacial, pero la distribución espacial de los sexos fué al azar. Encontramos una estrutura genética débil en V. surinamensis (r~0.04 a distancias entre 0-75 metros). La densidad local de machos no afectó la producción de frutos en árboles femeninos. Estimaciones de paternidad muestran que aproximadamente 50% de las semillas se originan de polen de machos localizados a menos de 100 metros de distancia. Sin embargo, una fracción importante (10% de las semillas) se originan de apareamientos entre árboles localizados a más de 500 metros. La diversidad de donadores de polen dentro de progenies mostró ser alta (10 donadores de polen por progenie). Estos resultados muestran que estas especies poseen sistemas de polinización muy eficientes, donde los árboles femeninos interceptan polen de una gran diversidad de donadores localizados en un vecindario de muchas hectáreas. Este patrón explicaría el poco efecto de la densidad local de machos en la producción de frutos. 
simposio	ID:967 	Biogeoquímica del carbono en ecosistemas áridos y semiáridos de México	CONTROLES BIOFÍSICOS DE LOS FLUJOS DE CARBONO EN UN CHAPARRAL SEMIÁRIDO CON CLIMA MEDITERRÁNEO  	eddy covariance, respiración de suelo, CO2, MexFlux, intercambio neto del ecosistema 	Los ecosistemas áridos y semiáridos abarcan dos terceras partes de la superficie terrestre, mientras que en México representan un 40% de su superficie continental. En este tipo de ecosistemas el agua es el principal factor limitante para la activación de procesos como la fotosíntesis y la respiración, principalmente en forma de precipitación, aunque la niebla, brisa o condensación pueden ser otro tipo de entradas de agua que han sido vagamente explorados en relación al metabolismo del ecosistema. Para los ecosistemas áridos y semiáridos, los modelos climáticos proyectan una disminución en la precipitación y un aumento en la importancia de eventos más intensos. Además, se prevé que la temporada en la cual ocurre la precipitación se vea reducida con lo cual, aunado a un posible aumento en la temperatura, podría potencialmente incrementar la escases de agua, repercutiendo en la dinámica ecosistémica en relación al ciclo del carbono. Entonces, estudiar los controles biofísicos asociados al intercambio de carbono entre los ecosistemas y la atmósfera es fundamental para poder predecir cómo es que los ecosistemas áridos y semiáridos responderán ante un cambio en su régimen hídrico. Se mostrarán resultados obtenidos de distintas mediciones y experimentos llevados a cabo en un ecosistema semiárido con clima mediterráneo, donde la disponibilidad hídrica esta inversamente correlacionada con la temperatura (veranos cálidos-secos e inviernos fríos-húmedos), asociado a la red de torres micrometeorológicas de México (MexFlux), incluyendo la variación inter e intra-anual del intercambio de dióxido de carbono (CO2) entre el ecosistema y la atmósfera utilizando la técnica de correlación turbulenta, la variación espacio-temporal de los flujos de CO2 de suelo, así como implicaciones para la modelación de la respiración del ecosistema. 
simposio	ID:194 	Biogeoquímica del carbono en ecosistemas áridos y semiáridos de México	ESTRUCTURA Y FUNCIÓN DE COMUNIDADES MICROBIANAS DE COSTRAS BIOLÓGICAS DE SUELOS DE DOS HÁBITATS ÁRIDOS CONTRASTANTES EN MÉXICO  	Bacterias, Costras Biológicas de Suelos Áridos, Función Ecosistémica, Fijación de N 	Las comunidades microbianas median muchos procesos ecosistémicos por lo que cambios en su función pueden tener repercusiones globales. Sin embargo, es común suponer que cambios en la composición de las comunidades no son relevantes dada la redundancia funcional de diferentes grupos microbianos, este supuesto ha sido rara vez investigado explícitamente. En este estudio investigamos la equivalencia funcional (ecológica) de diferentes comunidades microbianas de costras biológicas de suelos áridos mediante la caracterización de la estructura y la actividad de comunidades fijadoras de N2 provenientes de dos ecosistemas áridos con regímenes de precipitación-temperatura contrastantes (Desierto Chihuahuense (CC) y Desierto Sonorense (BC)). La estructura de las comunidades se determinó con estrategias independientes de cultivo de la diversidad del gen nifH (TRFLPs). El potencial de fijación de N2 se aproximó mediante el ensayo de reducción de acetileno (ARA) en dos temperaturas contrastantes (15ºC and 30ºC) para ambos tipos de comunidades y se aplicó un ANOVA de dos vías para probar el efecto del origen de la muestra (proxy para composición), el ambiente de incubación y su interacción en la respuesta funcional. Encontramos diferencias significativas entre comunidades en diversidad, composición y medidas funcionales. En promedio, la riqueza fue menor en las costras de CC que en las costras de BC, siendo también que la mayoría de los OTUs encontrados en CC estuvieron también presentes en BS. Sin embargo, la abundancia relativa de OTUs y la identidad de los más abundantes difirió entre sitios (CC vs BC). Los resultados de los ensayos funcionales indican que el origen de las costras tiene un efecto significativo en la actividad de la nitrogenasa, así como el ambiente de incubación. Concluimos con la hipótesis de que las diferencias funcionales entre comunidades de costras de suelos áridos están controladas por diferencias en la identidad de los grupos abundantes. 
simposio	ID:1044 	Biogeoquímica del carbono en ecosistemas áridos y semiáridos de México	HETEROGENEIDAD ESPACIAL DE LA DISTRIBUCIÓN DE LOS ALMACENES DE CARBONO AÉREO EN EL DESIERTO SONORENSE Y LAS CONSECUENCIAS DEL DISTURBIO ANTRÓPICO  	alometría, biomasa, deforestación, ecosistema, noroeste de México, matorral, zonas áridas 	Una percepción generalizada es que la biomasa almacenada en los ecosistemas áridos es baja y está homogéneamente distribuida. Esto se basa en la premisa de que, comparado con regiones más húmedas, el desarrollo de la vegetación de los desiertos (30% del área total terrestre) es muy escaso. Sin embargo, en muchas áreas consideradas desérticas, la biomasa y la productividad pueden ser muy altas y variables a todas las escalas espaciales. Debido a la noción también errónea de que los desiertos no contribuyen significativamente al almacén global de carbono, la magnitud y variación espacial en la biomasa ha sido poco estudiada. Tampoco se han examinado en detalle las implicaciones ecológicas, las consecuencias del cambio en uso del suelo por actividades humanas, ni el almacenaje asociado a procesos geológicos como la formación de caliche. En el sur del Desierto Sonorense hemos encontrado que existe marcada heterogeneidad en la distribución espacial de la productividad primaria, biomasa, potencial microbiano del suelo y descomposición. En este trabajo cuantificamos los almacenes de carbono por cosecha directa de las plantas en tres tipos de matorral ampliamente distribuidos en el Desierto Sonorense. La biomasa aérea varió de 7.0 en las planicies a 29.2 Mg/ha en los arroyos. Considerando un promedio ponderado de 16 Mg/ha y un cociente raíz/tallo de 1:1, obtuvimos una estimación promedio de 32 Mg/ha de biomasa total; cifra cuatro veces mayor al promedio mundial. Con estos datos y considerando una extensión de 275x103 km2 del Desierto Sonorense, un posible escenario del potencial de almacenamiento de biomasa sería de 0.88 Pg, valor que representa 4.4% de la biomasa en todos los desiertos del mundo. Un potencial de almacenamiento reducido significativamente por los procesos actuales de degradación y cambio de uso del suelo (agricultura, pastoreo y minería principalmente). 
simposio	ID:473 	Biogeoquímica del carbono en ecosistemas áridos y semiáridos de México	LEGADOS DE LA VARIABILIDAD CLIMÁTICA Y RESPUESTAS RETRASADAS EN LA DINÁMICA DEL CARBONO  	flujos turbulentos, pastizal, respuestas de retraso, tasa neta de intercambio del ecosistema 	Algunas respuestas biológicas de los ecosistemas no están totalmente acopladas a los tiempos en que ocurren los factores biofísicos que las controlan. La producción primaria neta anual (ANPP), es uno de estas variables la cual está estrechamente controlado por la precipitación, sin embargo se ha mostrado que existen retrasos en la respuesta de la ANPP que se derivan de legados de años húmedos o secos previos. La tasa neta de intercambio del ecosistema (NEE), se estima por la diferencia entre la tasa de productividad bruta (NPP) y la respiración (RE) del ecosistema, y por tanto incluye elementos para esperar efectos de legado de la precipitación. Se utilizaron datos colectados durante 4 años (2011-2014) en la estación de flujos turbulentos del IPICYT. Se colecto igualmente, información meteorológica y de la vegetación. Se calculó la tasa neta de intercambio de carbono diaria, para estimar el balance de carbono del sitio por año. La precipitación durante los años de estudio fue muy variable, incluyendo el año más seco registrado en los últimos 70 años (2011), con un año de precipitación promedio (2012) seguido de dos años extremadamente húmedos (>30%). El sitio resulto una fuente de CO2 a la atmosfera durante la sequía, mientras se desempeño como sumidero al siguiente año. Sin embargo, en 2013 con un 30% más de precipitación, el sitio fue de nuevo una fuente de CO2. Esta respuesta se interpreta como un efecto retrasado de la sequía de 2011. La presentación discute diferentes mecanismos involucrados en esta respuesta. 
simposio	ID:182 	Biogeoquímica del carbono en ecosistemas áridos y semiáridos de México	ESTEOQUIOMETRÍA ENZIMÁTICA AL EXTREMO: CÓMO LOS MICROORGANISMOS DEL SUELO RESPONDEN A LA LIMITACIÓN DE NUTRIENTES EN UN ECOSISTEMA DESÉRTICO OLIGOTRÓFICO  	Estequiometría Ecológica, Desierto Chihuahuense, Homeostasis 	Los ecosistemas áridos se caracterizan por presentar condiciones de estrés para los microorganismos, debido a la poca disponibilidad tanto de energía, como de agua y nutrientes. Se ha reportado que las eco-enzimas necesarias para la transformación de los compuestos orgánicos del suelo en productos asimilables para la microbiota, muestran relaciones escalares similares en diferentes hábitats (cocientes log C:N:P ~1:1:1). En este estudio realizado en el valle de Cuatro Ciénegas (VCC) en el desierto Chihuahuense mexicano, reportamos los valores más bajos de actividades eco-enzimáticas que se han publicado hasta el momento para suelos. Sin embargo, las actividades de las enzimas para la adquisición tanto de nitrógeno (N) orgánico, como de fósforo (P) orgánico, escalan con la adquisición de carbono (C) con una pendiente aproximada a 1.0, indicando que las comunidades microbianas del suelo de este ecosistema desértico ultra-oligotrófico siguen los patrones globales de la estequiometría ecoenzimática. Así mismo, las comunidades edáficas del VCC, están co-limitadas por C, así como por N y P, pero ésta co-limitación es diferencial en las diferentes zonas del VCC: la comunidad en los suelos sobre calizas está co-limitada por P (Pozas Azules), mientras que la comunidad en los suelos sobre yeso está más co-limitada por N (Churince). Sin embargo, ambas comunidades realizan homeostasis por medio de la inversión en la producción de las eco-enzimas para degradar las moléculas orgánicas que contienen los nutrientes más limitantes. 
