Tipo	ID	Tema	Título	PalClv	Autores	Resumen
presentacion	ID:0	Presentación	Presentacion	Fronteras de la Ecología, Mundo Globalizado	ConsejoDirectivo	Los impactos de las actividades humanas sobre la biosfera y sus diferentes ecosistemas han sido de tal magnitud que cada vez es más aceptado el término Antropoceno para describir la época en la que vivimos. El cambio global, caracterizado por  un calentamiento general del planeta, por la pérdida masiva de especies y poblaciones, por la expansión de especies invasoras, por la aparición de procesos de desertificación intensos y extensivos, por la contaminación de ríos, mares, océanos y otros cuerpos de agua, por la pesca por arrastre en lagunas costeras y suelos marinos, por expansión de núcleos poblacionales y la migración masiva se personas en el contexto de una creciente desigualdad socioeconómica, entre muchos otros fenómenos, caracteriza el Antropoceno. Los motores del cambio global se encuentran, por un lado, en el crecimiento exponencial de la población humana (que ahora cuenta con más de 7, 280 millones de personas en el planeta) pero, sobre todo, en el aumento indiscriminado de infraestructura, en la transportación ineficiente y la generación de energía con combustibles fósiles, lo mismo que en el consumo de recursos naturales per cápita con un marcado desperdicio por los estratos económicamente superiores de las sociedades y en una pobre conciencia, o la plena negación, de los impactos causados por tal consumo.  Ante este escenario, la ecología, como ciencia y disciplina de estudio, se enfrenta a enormes desafíos en su búsqueda de entender las causas que determinan la abundancia y distribución de los seres vivos en el planeta y los factores, procesos y mecanismos que regulan los flujos de energía y materia en los ecosistemas. Más que nunca la ecología juega un papel ineludible para entender las fuentes micro-evolutivas, las propiedades funcionales que poseen los organismos en respuesta a cambios en su hábitat, los factores que controlan o regulan a sus poblaciones, los procesos y mecanismos que median la abundancia y diversidad de especies a través del espacio y del tiempo y los procesos biogeoquímicos que afectan los balances energéticos, hidrológicos, de gases y nutrimentos a nivel local, regional y global. Esta investigación es fundamental pero es insuficiente para enfrentar la enorme tarea que representa, en el Antropoceno, el  conservar, usar, restaurar y ordenar a los ecosistemas, sus funciones y servicios  de  una  manera  sostenible, incluyendo a la enorme diversidad biológica contenida en ellos. En la búsqueda de tal sostenibilidad, la ecología debe interrelacionarse aún más con otras disciplinas de las ciencias naturales y exactas, pero sobre todo con aquellas de las ciencias sociales y humanidades, con el fin de entender los factores, procesos y dinámicas socio-ecológicas que están determinando el estado actual y futuro de las sociedades humanas y de la vida misma en el planeta.  México es un país megadiverso, tanto en especies como en culturas. Su territorio representa sólo el 1.4% de la superficie continental del planeta pero su biota representa el 12% del total de especies científicamente conocidas  en  el  mundo.  En  nuestro  país  se encuentran prácticamente todos los tipos de biomas y ecosistemas terrestres y acuáticos que se conocen a nivel planetario. Culturalmente, en México se hablan 291 lenguas nativas, habitan alrededor de 60 grupos étnicos y un gran número de comunidades campesinas que manejan la extraordinaria biodiversidad mexicana. En este contexto, al estudiar este enorme acervo de biodiversidad, los ecólogos de México tiene una gran oportunidad de contribuir al avance de la ecología en el concierto internacional y, de manera muy especial, de contribuir al desarrollo de nuevas formas de manejo de ecosistemas que sean sostenibles.  La Universidad Autónoma de San Luis Potosí (UASLP) a través de la Facultad de Agronomía y Veterinaria, el Instituto Potosino de Investigación Científica A.C. (IPICYT) a través de la División de Ciencias Ambientales y el Consejo Directivo de la Sociedad Científica Mexicana de Ecología (SCME) se complacen en darles la más cálida bienvenida al V Congreso Mexicano de Ecología. El lema del congreso Fronteras de la ecología en un mundo globalizado responde a nuestro deseo de ofrecer un fórum diverso y activo de presentación de ideas, propuestas, hallazgos y su discusión en temas que tocan la frontera del conocimiento de la ecología y, en particular, la frontera de intersección, o yuxtaposición, de este campo  de  estudio  con  otras  disciplinas  de  investigación  que,  en conjunto, buscan aportar conocimientos, métodos, herramientas tecnológicas y políticas,  entre  otros  aspectos,  que  coadyuven  a entender y resolver problemas relacionados con el cambio global y el papel de la ecología en el desarrollo sostenible.  En esta ocasión, la ciudad de San Luis Potosí, San Luis Potosí (SLP) alberga al V Congreso de la SCME. Esta ciudad en el centro- norte de México ofrece ámbitos de historia y cultura muy ricos de nuestro país, mientras que el estado ofrece una notable variedad de ecosistemas con una extraordinaria biodiversidad. SLP es una ciudad pujante con vías rápidas de comunicación y una amplia infraestructura de hoteles, restaurantes y lugares de esparcimiento. El Congreso de desarrollará en el Centro Cultural Bicentenario (CC200), que cuenta con todas las facilidades físicas, arquitectónicas y logísticas de comunicación para apoyar con éxito a congresos que, como el nuestro, conjuntan a más de 1,200 participantes. El CC200 es un espacio agradable, de fácil convivencia y tránsito, que asegura la accesibilidad de los participantes a las diferentes actividades incluidas en los 5 días de duración del Congreso.  El V Congreso ha generado mucho entusiasmo, constatado por la inscripción de 33 sesiones de simposio con 192 presentaciones, 478 presentaciones orales y 553 presentaciones en formato de cartel. Por primera vez, se abrió una nueva modalidad de presentación de trabajos en formato de video; en esta ocasión tendremos una sesión de 6 videos. Además, antes, durante y después del Congreso se llevarán a cabo talleres, mesas redondas, reuniones satélite, cursos, presentaciones de libro y excursiones (a lugares natural o culturalmente atractivos de SLP). Agradecemos ampliamente a los organizadores de  estas  actividades  que  enriquecen bondadosamente la oferta académica-cultural del Congreso.  Agradecemos  muy  especialmente  a  las  Dras.  Elena  Álvarez-Buylla, Ivonne Buckley y Valeria Sousa y a los Drs. David Inouye, Pablo Marquet, Shahid Naeem y Héctor Reyes Bonilla por su generosa aceptación para impartir las conferencias magistrales programadas en el Congreso. Ellos son exponentes de talla internacional cuyas ponencias enriquecerán las tareas del Congreso en el contexto de su lema adoptado.  Prácticamente toda la República Mexicana estará representada en las 142 instituciones nacionales participantes. El Congreso también ha llamado la atención de participantes de otros países: 87 instituciones extranjeras estarán representadas por sus investigadores o por estudiantes mexicanos que cursan su posgrado en el extranjero.  Esto  refleja  el  crecimiento  y  consolidación  de  la  ecología nacional, su impacto internacional y la existencia de múltiples programas de posgrado ofertadas en diferentes partes del territorio mexicano. Además, con mucho agrado registramos que muchos estudiantes de licenciatura estarán participando en el congreso. Creemos que este foro les ofrecerá la oportunidad de hacer contacto con la comunidad de profesores y investigadores que se dedican  a la ecología en México y de explorar posibilidades para futuros estudios de posgrado.  La difusión de los resultados del V Congreso Mexicano de Ecología se ha facilitado gracias a los sistemas actuales de internet. Hemos hecho todo lo posible por hacer de éste un congreso con una baja huella ecológica y toda la información relativa estará disponible en internet para su consulta. Por este medio compartiremos al público especializado, y al público en general, las aportaciones de los participantes al conocimiento científico y a su uso, como herramienta indispensable, a otros  actores  encargados  de  la  toma  de decisiones en el ámbito de ecología y medio ambiente. Además, se ha llamado a hacer esfuerzos por mitigar la emisión de gases de efecto invernadero que generará las actividades del congreso por el uso de la energía involucrada en el transporte de los participantes y durante las actividades realizadas en la reunión. Por primera vez en la historia del Congreso Mexicano de Ecología, los participantes aportarán de manera voluntaria una cantidad pequeña de dinero que se destinará a un programa certificado  de  conservación  o restauración en el estado de San Luis Potosí para hacer efectivo el esfuerzo de mitigación.  Para finalizar queremos mencionar que, por un lado, continuaremos la tradición de llevar a cabo concursos de tesis, de presentaciones orales y de cartel, a través de los que se premian a estudiantes de licenciatura y posgrado por sus contribuciones importantes a la Ecología. Por otro lado, y de manera especial, resaltamos el Reconocimiento al Mérito en Ecología que la Sociedad Científica Mexicana de Ecología otorga a ecólogos destacados. En su segunda entrega, honramos al Dr. Jerzy Rzedowski y a la Maestra Graciela Calderón como parte del grupo de los fundadores de la ecología mexicana, y a la Dra. Patricia Moreno-Casasola Barceló y los Drs. Rodolfo Dirzo, Exequiel Ezcurra y Daniel Piñero, por su gran trayectoria académica y su papel en la formación de escuelas de pensamiento que han dado vigor teórico y práctico al árbol del conocimiento de la Ecología en México. En este contexto, honraremos la memoria del Dr. Carlos Vázquez Yanes, fundador de los estudios sobre ecofisiología en México. 
simposio	ID:609 	Ecología evolutiva y genética de la conservación de plantas dioicas. 	DIVERSIDAD GENÉTICA DE LA PAPAYA SILVESTRE EN MÉXICO  	Carica papaya, diversidad genética, flujo génico, dioicismo, México 	MarianaChávezPesqueira,JuanNúñezFarfán	La papaya (Carica papaya) es la tercera fruta tropical de mayor producción a nivel mundial, siendo México el principal país exportador. En su forma silvestre, la papaya se distribuye de manera natural en las selvas tropicales y sub-tropicales de México. En estado natural, C. papaya es un árbol raro, de corta vida y rápido crecimiento, asociado a claros o sitios con disturbio. Las principales diferencias entre la papaya silvestre y la cultivada radican en el tamaño del fruto y en su morfología floral. Los frutos silvestres tienen un tamaño comparativamente menor, conteniendo casi sólo semillas y un mesocarpo muy delgado. Asimismo, las poblaciones naturales de papaya son estrictamente dioicas, mientras que en papayas cultivadas se pueden encontrar individuos hermafroditas. Al ser dioicas, son más vulnerables a cambios en su ambiente ya que dependen de la presencia de individuos de ambos sexos y de polinizadores y dispersores para una reproducción exitosa. Durante las últimas décadas, su hábitat natural ha sido altamente fragmentado y deforestado, a pesar de esto, poco se sabe sobre el estado de la diversidad genética de poblaciones silvestres. En este estudio se analizó la diversidad genética de la papaya silvestre en su distribución natural de México con marcadores de ADN nuclear y de cloroplasto. Los resultados preliminares para 19 poblaciones de papaya silvestre sugieren niveles moderados de diversidad genética, siendo menores en la zona de la península de Yucatán. Estimaciones de flujo génico y diferenciación poblacional señalan un bajo flujo génico entre poblaciones y una alta estructuración poblacional, así como varias barreras que impiden el flujo de genes. El dioicismo, su corta vida y el bajo flujo génico detectado en poblaciones silvestres de papaya, comprometen la persistencia de la especie de manera natural, así como su reservorio genético y el potencial evolutivo de esta importante especie.
simposio	ID:443 	Ecología evolutiva y genética de la conservación de plantas dioicas. 	REPRODUCCIÓN, HERBIVORÍA Y RAZÓN SEXUAL DE LITHRAEA MOLLEOIDES EN AMBIENTES FRAGMENTADOS DEL CHACO SERRANO  	Fragmentación de hábitat, árbol dioico, apomixis, agallas, reproducción sexual 	AnaLauraChiapero,GiovanaGalfrascoli,NoeliaLujea,AnaCalviño,RamiroAguilarLuján,LorenaAshworth	La fragmentación de hábitat modifica las interacciones mutualistas y antagonistas afectando distintos procesos ecológicos y genéticos que pueden comprometer la supervivencia de poblaciones vegetales. Así, sabemos que en general la fragmentación disminuye el éxito reproductivo y la diversidad genética de plantas, siendo estos efectos más fuertes en especies exógamas. Debido a que las especies dioicas son exógamas obligadas pues presentan individuos con sexos separados, se espera que sean el grupo más vulnerable. Aquí evaluamos la reproducción y la razón sexual junto con la herbivoría en Lithraea molleoides (Anacardiaceae), árbol dominante del chaco serrano en bosques fragmentados y continuos del centro de Argentina. Tanto la densidad de árboles femeninos y masculinos por hectárea como la razón sexual entre ellos (1:1) fueron similares en ambas condiciones del paisaje. La polinización es completamente entomófila y la probabilidad de fructificación es del 20% y no difiere entre condiciones. Al excluir polinizadores la fructificación es del 10% producto de apomixis. El esfuerzo reproductivo, medido como masa total de flores sobre masa total de hojas, fue mayor en individuos masculinos y no difirió entre condiciones. La especie es fuertemente atacada por una especie de insecto que forma agallas foliares. Ni el sexo ni la condición afectaron la cantidad de agallas por hoja, pero la frecuencia de individuos femeninos atacados fue mayor en bosques fragmentados. En contraposición a lo esperado, la reproducción sexual de este árbol dioico no estaría siendo afectada por la fragmentación de hábitat. La eventual falta de servicio de polinización podría ser parcialmente compensada por mecanismos de apomixis. La razón sexual similar de adultos entre condiciones sería consecuencia del poco tiempo transcurrido desde ocurrida la fragmentación en relación a la longevidad de los individuos. Discutimos estos resultados en el contexto del actual paradigma sobre los efectos de fragmentación de hábitat.
simposio	ID:1225 	Ecología evolutiva y genética de la conservación de plantas dioicas. 	LIVING FAST AND DYING YOUNG: LOCAL ADAPTATION, SEXUAL ANTAGONISM, AND SEX- CHROMOSOME EVOLUTION IN THE DIOECIOUS PLANT SILENE LATIFOLIA  	local adaptation, sex-chromosome evolution, sexual antagonism, sexual dimorphism 	LyndaDelph	The dioecious plant Silene latifolia exhibits both sexual dimorphism and among-population divergence in many traits related to edaphic conditions. I will present a series of experiments showing that males experience selection more strongly than females, that the two sexes experience intralocus sexual antagonism in harsh environments, and that many of the traits that confer local adaptation are controlled by loci located on the sex chromosomes. Hence, sexual antagonism, local adaptation, and sex-chromosome evolution are all intimately related to the pattern of sexual dimorphism and divergence in phenotypic traits. The combination of the strength of selection on certain traits with genetic correlations among traits may be driving incipient speciation in this species.
simposio	ID:495 	Ecología evolutiva y genética de la conservación de plantas dioicas. 	POLINIZACIÓN, ÉXITO REPRODUCTIVO Y ESTRUCTURA GÉNICA EN PALMAS DIOICAS DEL GÉNERO CHAMAEDOREAE  	Dioicismo, palmas, Chamaedoreae, éxito-reproductivo, polinización, ambofilia, fenología, flujo polen, flujo génico, diversidad genética 	EricFuchsCastillo,LuisDiegoRíosReyes,AlfredoCascanteMarín	El éxito reproductivo en especies dioicas depende de la capacidad de transportar exitosamente polen entre individuos de sexos diferentes. Esta capacidad dependerá también de otros factores como la sincronía de floración entre individuos, la distribución especial de ambos sexos y de características de las plantas como tamaño y el número de flores producidas. Nosotros estudiamos cómo estos factores afectan el éxito reproductivo de tres especies de palmas dioicas del género Chamaedorea en bosques pre-montanos de Costa Rica. Además, estudiamos el sistema de polinización de estas especies. Marcamos más de 300 individuos de ambos sexos y estudiamos su fenología reproductiva semanalmente por un período de cinco meses. El éxito reproductivo femenino se estimó como la proporción de flores que desarrollan frutos. Mediante experimentos de exclusión, determinamos que tanto el viento como los thrips (Thysanoptera) son polinizadores efectivos. Aproximadamente, el 43% de las flores desarrollan frutos. Los resultados preliminares sugieren que la densidad o sincronía floral no afecta significativamente el éxito reproductivo. Sin embargo, las plantas de mayor tamaño maduran proporcionalmente más semillas. Similarmente, se determinó que el éxito reproductivo depende de la fecha de floración, lo cual atribuimos a la disponibilidad de polinizadores. Además, iniciamos el estudio de la estructura y diversidad genética de C. tepejilote en bosques continuos y fragmentados de la vertiente Pacífica de Costa Rica. Mediante parcelas, determinamos la densidad poblacional, la proporción sexual y colectamos muestras de al menos 20 individuos en ocho poblaciones. Con siete microsatélites, preliminarmente determinamos que las poblaciones presentan niveles intermedios de diversidad genética, y poca estructura génica, resultados congruentes con especies vectores efectivos. Las poblaciones en bosques continuos presentan niveles comparables de diversidad genética que las poblaciones en bosques fragmentados. Estos resultados pueden deberse a la amplia distribución de la especie y su amplia capacidad de flujo génico.
simposio	ID:186 	Ecología evolutiva y genética de la conservación de plantas dioicas. 	DIMORFISMO SEXUAL DE LA DEFENSA CONTRA HERBÍVOROS: SESGOS Y SUPUESTOS  	diecia, asignación de recursos, herbivoría, dimorfismo sexual, defensa 	GermánAvilaSakar	En plantas dioicas, las estrategias de defensa contra enemigos naturales pueden evolucionar diferencialmente entre los sexos. Actualmente se considera que, en general, las plantas macho son menos resistentes y por lo tanto sufren mayor daño por herbívoros que las hembras. Esta visión está basada en datos que provienen de pocas especies, muchas de ellas dentro del mismo género o familia, y pocas familias. Además, nuestro entendimiento del proceso evolutivo que ha causado dicho dimorfismo sexual de la defensa refleja una perspectiva incompleta de las rutas evolutivas posibles, dejando del lado alternativas que pueden llevar a la evolución de poblaciones donde las hembras sean menos resistentes que los machos. En este trabajo, presentamos una revisión crítica del estado del conocimiento de la herbivoría en especies dioicas y proponemos escenarios evolutivos alternativos que han sido soslayados. Estos escenarios consideran factores funcionales y evolutivos que pueden causar dimorfismo sexual en la asignación de recursos a la reproducción, el crecimiento y la defensa. Revisamos la evidencia que ha llevado a la conclusión de que los machos son menos resistentes en especies dioicas, haciendo hincapié en las limitaciones de dichos estudios. Por último, proponemos un protocolo mínimo que debería seguirse en estudios avocados a investigar la coevolución entre las plantas dioicas y sus herbívoros.
simposio	ID:707 	Ecología evolutiva y genética de la conservación de plantas dioicas. 	ECOLOGÍA REPRODUCTIVA DE DOS ESPECIES DE ÁRBOLES DIOICOS DEL GÉNERO VIROLA (MYRISTICACEAE) EN UN BOSQUE MADURO EN LA PENÍNSULA DE OSA, COSTA RICA  	plantas dioicas árboles maderables dispersión de polen polinización producción de frutos 	PabloRibaHernández,JorgeArturoLoboSegura,EricJFuchs,JuanMoreira	La estructura poblacional de dos especies dioicas de árboles maderables, Virola surinamensis y V. kochnyi fué estudiada en una parcela de 60 has en el Refugio Marenco, Peninsula de Osa, Costa Rica. Se determinó el sexo y el dap de todos los individuos adultos (>30 cm dap) de ambas especies. En V. surinamensis se investigó además el efecto de la densidad local (vecindario de 100 m de radio) de machos en la producción de frutos y el flujo génico por polen. Para esto se estimó la producción de frutos en una muestra de 64 árboles femeninos localizados dentro una parcela nuclear de 42 has, donde además se determinaron los genotipos para 5 microsatélites de 10-20 semillas por árbol materno y de 75% de los adultos. La proporción de individuos que produjeron flores y la distribución diamétrica no fué diferente entre especies y sexos. Los adultos de ambas especies mostraron agregación espacial, pero la distribución espacial de los sexos fué al azar. Encontramos una estrutura genética débil en V. surinamensis (r~0.04 a distancias entre 0-75 metros). La densidad local de machos no afectó la producción de frutos en árboles femeninos. Estimaciones de paternidad muestran que aproximadamente 50% de las semillas se originan de polen de machos localizados a menos de 100 metros de distancia. Sin embargo, una fracción importante (10% de las semillas) se originan de apareamientos entre árboles localizados a más de 500 metros. La diversidad de donadores de polen dentro de progenies mostró ser alta (10 donadores de polen por progenie). Estos resultados muestran que estas especies poseen sistemas de polinización muy eficientes, donde los árboles femeninos interceptan polen de una gran diversidad de donadores localizados en un vecindario de muchas hectáreas. Este patrón explicaría el poco efecto de la densidad local de machos en la producción de frutos.
simposio	ID:967 	Biogeoquímica del carbono en ecosistemas áridos y semiáridos de México	CONTROLES BIOFÍSICOS DE LOS FLUJOS DE CARBONO EN UN CHAPARRAL SEMIÁRIDO CON CLIMA MEDITERRÁNEO  	eddy covariance, respiración de suelo, CO2, MexFlux, intercambio neto del ecosistema 	AlejandroCueva,CarlosAguirreGutiérrez,StephenHBullock,ÁngelCastro,MartínEscottoRodríguez,EulogioLópezReyes,JuanFMarínezOsuna,StephenSmith,RodrigoVargas,SamuelVillarealRodríguez	Los ecosistemas áridos y semiáridos abarcan dos terceras partes de la superficie terrestre, mientras que en México representan un 40% de su superficie continental. En este tipo de ecosistemas el agua es el principal factor limitante para la activación de procesos como la fotosíntesis y la respiración, principalmente en forma de precipitación, aunque la niebla, brisa o condensación pueden ser otro tipo de entradas de agua que han sido vagamente explorados en relación al metabolismo del ecosistema. Para los ecosistemas áridos y semiáridos, los modelos climáticos proyectan una disminución en la precipitación y un aumento en la importancia de eventos más intensos. Además, se prevé que la temporada en la cual ocurre la precipitación se vea reducida con lo cual, aunado a un posible aumento en la temperatura, podría potencialmente incrementar la escases de agua, repercutiendo en la dinámica ecosistémica en relación al ciclo del carbono. Entonces, estudiar los controles biofísicos asociados al intercambio de carbono entre los ecosistemas y la atmósfera es fundamental para poder predecir cómo es que los ecosistemas áridos y semiáridos responderán ante un cambio en su régimen hídrico. Se mostrarán resultados obtenidos de distintas mediciones y experimentos llevados a cabo en un ecosistema semiárido con clima mediterráneo, donde la disponibilidad hídrica esta inversamente correlacionada con la temperatura (veranos cálidos-secos e inviernos fríos-húmedos), asociado a la red de torres micrometeorológicas de México (MexFlux), incluyendo la variación inter e intra-anual del intercambio de dióxido de carbono (CO2) entre el ecosistema y la atmósfera utilizando la técnica de correlación turbulenta, la variación espacio-temporal de los flujos de CO2 de suelo, así como implicaciones para la modelación de la respiración del ecosistema.
simposio	ID:194 	Biogeoquímica del carbono en ecosistemas áridos y semiáridos de México	ESTRUCTURA Y FUNCIÓN DE COMUNIDADES MICROBIANAS DE COSTRAS BIOLÓGICAS DE SUELOS DE DOS HÁBITATS ÁRIDOS CONTRASTANTES EN MÉXICO  	Bacterias, Costras Biológicas de Suelos Áridos, Función Ecosistémica, Fijación de N 	AnaEEscalante,AlbertoBarrónSandoval,TeresaPérezCarbajal,AngélicaSerranoVázquez,GeorginaHernández,AlfonsoLeija,VíctorManuelRiveraAguilar	Las comunidades microbianas median muchos procesos ecosistémicos por lo que cambios en su función pueden tener repercusiones globales. Sin embargo, es común suponer que cambios en la composición de las comunidades no son relevantes dada la redundancia funcional de diferentes grupos microbianos, este supuesto ha sido rara vez investigado explícitamente. En este estudio investigamos la equivalencia funcional (ecológica) de diferentes comunidades microbianas de costras biológicas de suelos áridos mediante la caracterización de la estructura y la actividad de comunidades fijadoras de N2 provenientes de dos ecosistemas áridos con regímenes de precipitación-temperatura contrastantes (Desierto Chihuahuense (CC) y Desierto Sonorense (BC)). La estructura de las comunidades se determinó con estrategias independientes de cultivo de la diversidad del gen nifH (TRFLPs). El potencial de fijación de N2 se aproximó mediante el ensayo de reducción de acetileno (ARA) en dos temperaturas contrastantes (15ºC and 30ºC) para ambos tipos de comunidades y se aplicó un ANOVA de dos vías para probar el efecto del origen de la muestra (proxy para composición), el ambiente de incubación y su interacción en la respuesta funcional. Encontramos diferencias significativas entre comunidades en diversidad, composición y medidas funcionales. En promedio, la riqueza fue menor en las costras de CC que en las costras de BC, siendo también que la mayoría de los OTUs encontrados en CC estuvieron también presentes en BS. Sin embargo, la abundancia relativa de OTUs y la identidad de los más abundantes difirió entre sitios (CC vs BC). Los resultados de los ensayos funcionales indican que el origen de las costras tiene un efecto significativo en la actividad de la nitrogenasa, así como el ambiente de incubación. Concluimos con la hipótesis de que las diferencias funcionales entre comunidades de costras de suelos áridos están controladas por diferencias en la identidad de los grupos abundantes.
simposio	ID:1044 	Biogeoquímica del carbono en ecosistemas áridos y semiáridos de México	HETEROGENEIDAD ESPACIAL DE LA DISTRIBUCIÓN DE LOS ALMACENES DE CARBONO AÉREO EN EL DESIERTO SONORENSE Y LAS CONSECUENCIAS DEL DISTURBIO ANTRÓPICO  	alometría, biomasa, deforestación, ecosistema, noroeste de México, matorral, zonas áridas 	AngelinaMartínezYrizar,AlbertoBúrquezMontijo	Una percepción generalizada es que la biomasa almacenada en los ecosistemas áridos es baja y está homogéneamente distribuida. Esto se basa en la premisa de que, comparado con regiones más húmedas, el desarrollo de la vegetación de los desiertos (30% del área total terrestre) es muy escaso. Sin embargo, en muchas áreas consideradas desérticas, la biomasa y la productividad pueden ser muy altas y variables a todas las escalas espaciales. Debido a la noción también errónea de que los desiertos no contribuyen significativamente al almacén global de carbono, la magnitud y variación espacial en la biomasa ha sido poco estudiada. Tampoco se han examinado en detalle las implicaciones ecológicas, las consecuencias del cambio en uso del suelo por actividades humanas, ni el almacenaje asociado a procesos geológicos como la formación de caliche. En el sur del Desierto Sonorense hemos encontrado que existe marcada heterogeneidad en la distribución espacial de la productividad primaria, biomasa, potencial microbiano del suelo y descomposición. En este trabajo cuantificamos los almacenes de carbono por cosecha directa de las plantas en tres tipos de matorral ampliamente distribuidos en el Desierto Sonorense. La biomasa aérea varió de 7.0 en las planicies a 29.2 Mg/ha en los arroyos. Considerando un promedio ponderado de 16 Mg/ha y un cociente raíz/tallo de 1:1, obtuvimos una estimación promedio de 32 Mg/ha de biomasa total; cifra cuatro veces mayor al promedio mundial. Con estos datos y considerando una extensión de 275x103 km2 del Desierto Sonorense, un posible escenario del potencial de almacenamiento de biomasa sería de 0.88 Pg, valor que representa 4.4% de la biomasa en todos los desiertos del mundo. Un potencial de almacenamiento reducido significativamente por los procesos actuales de degradación y cambio de uso del suelo (agricultura, pastoreo y minería principalmente).
